epoch,train_loss,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_true_positive,validation_true_negative,validation_false_positive,validation_false_negative,validation_loss
1,0.48268773718246516,0.8551508844953174,0.572671917400225,0.049689440993788817,0.27586206896551724,0.08421052631578947,32.0,4077.0,612.0,84.0,0.45174242188605507
2,0.3804504471381194,0.8062434963579604,0.619076378317559,0.05366922234392114,0.4224137931034483,0.09523809523809523,49.0,3825.0,864.0,67.0,0.5102907498780944
3,0.33047261632704633,0.8851196670135276,0.5754158669225848,0.058704453441295545,0.25,0.09508196721311475,29.0,4224.0,465.0,87.0,0.43009521518363913
4,0.3153783234706477,0.6736732570239334,0.6268182687287194,0.04224464060529634,0.5775862068965517,0.07873090481786134,67.0,3170.0,1519.0,49.0,0.7054341243283434
5,0.28420311802196196,0.5298647242455775,0.6035797280502423,0.0343328987396784,0.6810344827586207,0.06537029375258585,79.0,2467.0,2222.0,37.0,0.834250205463723
