epoch,train_loss,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_true_positive,validation_true_negative,validation_false_positive,validation_false_negative,validation_loss
1,0.48101903643157573,0.6942767950052029,0.586930343209713,0.03759398496240601,0.47413793103448276,0.06966434452184928,55.0,3281.0,1408.0,61.0,0.607179213258652
2,0.37629365292519845,0.6830385015608741,0.5895796103867452,0.03747534516765286,0.49137931034482757,0.06963958460598656,57.0,3225.0,1464.0,59.0,0.6564833296945515
3,0.3369682873299782,0.7691987513007285,0.5916883608739456,0.04323827046918123,0.4051724137931034,0.07813798836242726,47.0,3649.0,1040.0,69.0,0.5326926995390536
4,0.3082824809397921,0.4272632674297607,0.6056581434170951,0.032624113475177303,0.7931034482758621,0.06267029972752043,92.0,1961.0,2728.0,24.0,0.9522857683010082
5,0.27704097638325714,0.7937565036420395,0.5790487273957391,0.042842215256008356,0.35344827586206895,0.07642124883504194,41.0,3773.0,916.0,75.0,0.5226607089732366
