model_name,fps,avg_latency_ms,p95_latency_ms,avg_cpu_ram_mb,peak_cpu_ram_mb,avg_gpu_ram_mb,peak_gpu_ram_mb,avg_gpu_utilization_pct,avg_power_w,energy_per_inference_j,num_images
yolov5nu,188.71743866600494,5.298927364999986,6.210586599945602,1424.4850505169172,1428.1328125,15.474897571076127,32.1015625,36.721804511278194,35.58705263157895,0.18857320702916847,5000
yolov8n,198.27872489306776,5.043405441200526,6.219695750036181,1422.2510035820158,1426.66015625,16.74057211894763,33.06982421875,35.82608695652174,38.03986956521739,0.19185048514777564,5000
mobilenet_v3_small,107.95985086451205,9.262702680601,14.953021899964371,1043.3242609341253,1046.08203125,18.32814925587203,20.41845703125,8.883369330453563,15.045127429805616,0.13935854217404411,5000
mobilenet_v3_large,89.95364566931036,11.116836817000422,19.050417949978282,1043.8956694019785,1045.62890625,29.833661196043167,36.67626953125,10.489208633093526,15.945728417266189,0.17726606074295465,5000
mobilevit_xxs,131.25995404299255,7.618469831800053,9.226362149985334,1211.2943836122047,1217.52734375,14.533068559301181,25.6259765625,24.364829396325458,19.840102362204725,0.15115122130628164,5000
mobilevit_xs,127.72237123936188,7.829481948200918,8.976562450015992,1161.2406927614795,1165.1875,18.767579370615433,37.2236328125,28.528061224489797,22.342778061224493,0.17493237750301668,5000
mobilevit_s,134.53212644612458,7.433168763599861,8.79827150000665,1156.7470178091398,1162.83203125,31.837625483030912,49.25537109375,34.873655913978496,25.501416666666668,0.18955633379421155,5000
smolvlm_256m,1.2864931792250591,777.3068805559986,997.3702172499998,1877.7097466684952,1923.00390625,1066.5059328566647,1865.01416015625,76.73257614868353,52.12087429013939,40.5139142063196,500
smolvlm_500m,1.1245242517541392,889.2649477680054,1153.1776675999936,2651.712292207609,2719.4765625,2026.6847949946375,2821.0986328125,79.64348611424701,52.67463174531497,46.84170364769644,500
efficientformer_l1,83.21858779550443,12.016546140596983,23.673993149168382,1146.40625,1147.30078125,56.23235584698456,62.88232421875,23.524207011686144,20.244484140233723,0.24326877776370237,5000
efficientformer_l3,73.27739900256745,13.646772587615487,24.740880199988172,1155.3507365088105,1157.05078125,131.89870781135278,139.3876953125,25.12775330396476,22.982773861967694,0.3136406883268664,5000
efficientformer_l7,53.173235591211025,18.806453827408042,35.166744499747445,1186.035406918449,1187.17578125,327.2843243440842,339.32568359375,28.30053475935829,37.96917112299465,0.7140654635895537,5000
mobilenet_v2,100.59449588274153,9.940901748398392,14.156256649221177,1013.5805536343058,1015.55078125,22.24055563851861,32.22998046875,12.090543259557345,16.345136820925553,0.16248539920094976,5000
efficientnet_b0,94.79652034716902,10.548910406602955,14.54768400126341,1030.1040826612902,1032.125,29.2161816591556,39.06298828125,15.96584440227704,17.185322580645163,0.1812864282117965,5000
resnet18,122.64581446531136,8.15355994299207,15.008348050650975,1005.2532839307598,1007.0,53.289298263250615,63.08935546875,17.29901960784314,20.15389950980392,0.16432602773822474,5000
inception_v3,69.5486272013221,14.378429024994329,29.317289350547096,1120.7905007845188,1122.05859375,115.0481736783037,128.48291015625,26.669456066945607,28.021531380753135,0.4029056001298103,5000
